,id,name,url,professional_roles,salary_from,salary_to,currency,gross
2792,112764940,Middle C# .Net developer,https://api.hh.ru/vacancies/112764940?host=hh.ru,"['Программист, разработчик']",,,,
2793,112856879,Директор департамента аналитики и исследований,https://api.hh.ru/vacancies/112856879?host=hh.ru,['Руководитель отдела аналитики'],,,,
2794,108349433,Химик-аналитик,https://api.hh.ru/vacancies/108349433?host=hh.ru,"['Научный специалист, исследователь']",160000.0,,RUR,True
2795,112225988,Middle Product Designer,https://api.hh.ru/vacancies/112225988?host=hh.ru,"['Дизайнер, художник']",200000.0,,RUR,False
2796,112321959,Менеджер проектов,https://api.hh.ru/vacancies/112321959?host=hh.ru,"['SMM-менеджер, контент-менеджер']",,,,
2797,112756975,SMM-менеджер/Менеджер по рекламе,https://api.hh.ru/vacancies/112756975?host=hh.ru,"['SMM-менеджер, контент-менеджер']",80000.0,,RUR,False
2798,113008759,Начинающий специалист в чате/ ночь,https://api.hh.ru/vacancies/113008759?host=hh.ru,['Специалист технической поддержки'],60000.0,70000.0,RUR,False
2799,113018384,Менеджер B2B продаж (Romikey),https://api.hh.ru/vacancies/113018384?host=hh.ru,"['Менеджер по продажам, менеджер по работе с клиентами']",150000.0,350000.0,RUR,False
2800,113272830,Продуктовый аналитик (Медиакит) / Product Analyst (Media Kit),https://api.hh.ru/vacancies/113272830?host=hh.ru,['Продуктовый аналитик'],,,,
2801,113313535,Аналитик DWH,https://api.hh.ru/vacancies/113313535?host=hh.ru,['Аналитик'],,,,
2802,108957409,Координатор отдела,https://api.hh.ru/vacancies/108957409?host=hh.ru,['Координатор отдела продаж'],,,,
2803,113016026,Бизнес-аналитик,https://api.hh.ru/vacancies/113016026?host=hh.ru,['Бизнес-аналитик'],250000.0,,RUR,False
2804,113934700,Руководитель отдела продаж,https://api.hh.ru/vacancies/113934700?host=hh.ru,['Руководитель отдела продаж'],200000.0,,RUR,False
2805,114187051,Бизнес-аналитик / Руководитель проектов,https://api.hh.ru/vacancies/114187051?host=hh.ru,['Другое'],,,,
2806,111749181,Менеджер по маркетплейсам,https://api.hh.ru/vacancies/111749181?host=hh.ru,"['Секретарь, помощник руководителя, ассистент']",150000.0,,RUR,False
2807,112068401,Ассистент менеджера по работе с маркетплейсами,https://api.hh.ru/vacancies/112068401?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",70000.0,80000.0,RUR,False
2808,112767356,Маркетолог,https://api.hh.ru/vacancies/112767356?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",,,,
2809,112873695,Руководитель сервисно-технического отдела,https://api.hh.ru/vacancies/112873695?host=hh.ru,"['Сервисный инженер, инженер-механик']",,250000.0,RUR,False
2810,113696789,Продуктовый дизайнер Uzum Bank,https://api.hh.ru/vacancies/113696789?host=hh.ru,"['Дизайнер, художник']",,,,
2811,113723572,Аналитик данных,https://api.hh.ru/vacancies/113723572?host=hh.ru,"['BI-аналитик, аналитик данных']",138000.0,,RUR,False
2812,111983866,Менеджер в отдел планирования и развития послепродажного обслуживания,https://api.hh.ru/vacancies/111983866?host=hh.ru,"['Менеджер по продажам, менеджер по работе с клиентами']",,,,
2813,112708871,Аналитик/Ресерчер/Исследователь,https://api.hh.ru/vacancies/112708871?host=hh.ru,['Аналитик'],,,,
2814,112914064,SMM-менеджер,https://api.hh.ru/vacancies/112914064?host=hh.ru,"['SMM-менеджер, контент-менеджер']",80000.0,100000.0,RUR,True
2815,114477198,Интернет-маркетолог,https://api.hh.ru/vacancies/114477198?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",40000.0,60000.0,RUR,False
2816,111872007,Системный аналитик,https://api.hh.ru/vacancies/111872007?host=hh.ru,['Системный аналитик'],150000.0,,RUR,False
2817,111958218,Директор по персоналу,https://api.hh.ru/vacancies/111958218?host=hh.ru,['Директор по персоналу (HRD)'],250000.0,,RUR,False
2818,111981725,Маркетолог на проект (конкурентная разведка/анализ конкурентов),https://api.hh.ru/vacancies/111981725?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",40000.0,100000.0,RUR,True
2819,112348182,Контент-менеджер / Редактор сайта / SEO-специалист,https://api.hh.ru/vacancies/112348182?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",,,,
2820,112417429,SMM на автомобильное сообщество,https://api.hh.ru/vacancies/112417429?host=hh.ru,"['SMM-менеджер, контент-менеджер']",10000.0,,RUR,False
2821,113714013,Продуктовый аналитик,https://api.hh.ru/vacancies/113714013?host=hh.ru,['Продуктовый аналитик'],,,,
2822,114178486,Системный аналитик,https://api.hh.ru/vacancies/114178486?host=hh.ru,['Аналитик'],130000.0,220000.0,RUR,False
2823,114189554,Директолог/специалист по контекстной рекламе,https://api.hh.ru/vacancies/114189554?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",100000.0,,RUR,False
2824,112689221,Младший маркетолог,https://api.hh.ru/vacancies/112689221?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",50000.0,90000.0,RUR,True
2825,113312641,Ведущий финансовый аналитик в финансовый департамент,https://api.hh.ru/vacancies/113312641?host=hh.ru,['Финансовый менеджер'],,,,
2826,113325677,Менеджер по маркетплейсам Ozon,https://api.hh.ru/vacancies/113325677?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",150000.0,250000.0,RUR,False
2827,114300352,Руководитель Интернет-магазина,https://api.hh.ru/vacancies/114300352?host=hh.ru,['Другое'],120000.0,170000.0,RUR,False
2828,108462859,Начинающий специалист в IT компанию в чате (ночь),https://api.hh.ru/vacancies/108462859?host=hh.ru,['Другое'],60000.0,70000.0,RUR,False
